Test Time (s), F(kg), strain raw
4.37, 0.00, 34.00
4.468, 0.00, 100.00
4.568, 0.00, 95.00
4.668, 0.00, 107.00
4.768, 0.00, 81.00
4.868, 0.00, 57.00
4.968, 0.00, 35.00
5.07, 0.00, 79.00
5.169, 0.00, 176.00
5.285, 0.00, 289.00
5.385, 0.00, 388.00
5.486, 0.01, 545.00
5.586, 0.00, 677.00
5.685, 0.00, 815.00
5.787, 0.00, 920.00
5.885, 0.00, 1069.00
5.985, 0.00, 1219.00
6.085, 0.00, 1299.00
6.185, 0.00, 1459.00
6.286, 0.00, 1546.00
6.385, 0.00, 1686.00
6.485, 0.00, 1875.00
6.585, 0.00, 2073.00
6.686, 0.00, 2308.00
6.8, 0.00, 2519.00
6.886, 0.01, 2697.00
7.002, 0.00, 2853.00
7.103, 0.00, 2994.00
7.204, 0.00, 3063.00
7.302, 0.00, 3182.00
7.402, 0.00, 3323.00
7.501, 0.00, 3516.00
7.602, 0.00, 3684.00
7.702, 0.00, 3796.00
7.801, 0.01, 3923.00
7.9, 0.01, 4049.00
8.003, 0.01, 4169.00
8.102, 0.01, 4282.00
8.204, 0.00, 4409.00
8.302, 0.01, 4483.00
8.403, 0.00, 4532.00
8.503, 0.00, 4587.00
8.604, 0.00, 4668.00
8.719, 0.01, 4745.00
8.817, 0.00, 4704.00
8.92, 0.00, 4626.00
9.02, 0.00, 4612.00
9.119, 0.00, 4564.00
9.22, 0.00, 4551.00
9.317, 0.00, 4500.00
9.42, 0.01, 4474.00
9.52, 0.00, 4422.00
9.62, 0.00, 4419.00
9.719, 0.00, 4394.00
9.82, 0.00, 4374.00
9.92, 0.01, 4335.00
10.018, 0.00, 4322.00
10.118, 0.00, 4292.00
10.237, 0.00, 4248.00
10.321, 0.00, 4192.00
10.537, 0.00, 4214.00
10.62, 0.00, 4259.00
10.736, 0.00, 4314.00
10.836, 0.01, 4310.00
10.936, 0.00, 4275.00
11.037, 0.00, 4366.00
11.134, 0.00, 4423.00
11.237, 0.00, 4422.00
11.336, 0.00, 4479.00
11.437, 0.00, 4532.00
11.537, 0.01, 4560.00
11.636, 0.00, 4586.00
11.737, 0.00, 4686.00
11.835, 0.00, 4722.00
11.936, 0.00, 4744.00
12.036, 0.00, 486
12.254, 0.00, 5042.00
12.338, 0.00, 5110
12.554, 0.00, 5256.00
12.651, 0.00, 5318.00
12.754, 0.00, 5472.00
12.851, 0.00, 5608.00
12.952, 0.00, 5648.00
13.054, 0.00, 5693.00
13.151, 0.00, 5747.00
13.251, 0.00, 5959.00
13.351, 0.00, 6234.00
13.454, 0.00, 6421.00
13.553, 0.00, 6515.00
13.652, 0.00, 6630.00
13.767, 0.01, 17683.00
13.854, 0.02, 97409.00
13.954, 0.30, 237221.00
14.067, 0.46, 373883.00
14.154, 0.61, 499742.00
14.27, 0.76, 636562.00
14.369, 0.96, 804049.00
14.471, 1.18, 994585.00
14.568, 1.43, 1201286.00
14.669, 1.68, 1410248.00
14.77, 1.93, 1595793.00
14.871, 2.18, 1783404.00
14.972, 2.43, 1971359.00
15.071, 2.68, 2149611.00
15.171, 2.90, 2319217.00
15.27, 3.11, 2476960.00
15.372, 3.30, 2615024.00
15.471, 3.47, 2734870.00
15.686, 3.74, 2937036.00
15.786, 3.86, 3032112.00
15.888, 3.98, 3135657.00
15.985, 4.26, 3253426.00
16.085, 4.37, 3340467.00
16.185, 4.38, 3355379.00
16.285, 4.37, 3351978.00
16.387, 4.36, 3344038.00
16.487, 4.36, 3337060.00
16.587, 4.36, 3334404.00
16.685, 4.36, 3332033.00
16.785, 4.35, 3330122.00
16.887, 4.35, 3328896.00
16.987, 4.34, 3328221.00
17.086, 4.34, 3327145.00
17.186, 4.34, 3325864.00
17.303, 4.33, 3325014.00
17.403, 4.33, 3339411.00
17.504, 4.38, 3428677.00
17.605, 4.54, 3563706.00
17.704, 4.72, 3683696.00
17.804, 4.86, 3780466.00
17.904, 4.97, 3858706.00
18.004, 5.07, 3933316.00
18.104, 5.27, 4014456.00
18.202, 5.37, 4093907.00
18.301, 5.47, 4169103.00
18.404, 5.57, 4253166.00
18.501, 5.69, 4349118.00
18.602, 5.82, 4449724.00
18.719, 5.96, 4552256.00
19.021, 6.35, 4846836.00
19.119, 6.48, 4940591.00
19.217, 6.61, 5028671.00
19.32, 6.73, 5120915.00
19.42, 6.86, 5212900.00
19.518, 6.98, 5298269.00
19.618, 7.10, 5387417.00
19.72, 7.21, 5474200.00
19.818, 7.33, 5571627.00
19.918, 7.46, 5679877.00
